Timestamp,Tweet Content
2018-07-02T21:05:19.000Z,"Behold the Fair and Reciprocal Tariff Act. 

The FART Act. 

http://businessinsider.com/trump-draft-bill-to-abandon-wto-rules-dubbed-the-fart-act-2018-7…"
2018-07-02T21:41:18.000Z,"No you told me you sent me a list, I asked where.

It's rrelevant to my point, when countries with poor farmers, who don't get preferential EU treatment have 7.5% tariffs.. Makes my point.. Tariff free trade has no bearing on the devastation caused by neoliberal greed."
2018-07-02T23:29:35.000Z,"It is true. This bill is indeed named the United States Fair and Reciprocal Tariff Act, i.e. the US FART act. h/t the mooch."
2018-07-02T21:58:01.000Z,"Today we live in a new world and we must insist on a different arrangement. Although we import massive quantities of goods from China, for example, it still imposes a 13% tariff U.S. soybeans. Farmers in Brazil face no Chinese tariffs on their soybeans.  http://bit.ly/2IAyx2f"
2018-07-02T22:37:59.000Z,"So Donald’s new economic plan is “The Fair and Reciprocal Tariff Act”? 

I guess Frank Luntz was on vacation, because someone clearly has no idea how words work."
2018-07-02T21:09:58.000Z,"Trump will ultimately hurt American car manufacturers with tariff plan, EU says https://independent.co.uk/news/world/europe/trump-eu-tariffs-eu-car-us-trade-war-imports-exports-steel-aluminum-a8426506.html…"
2018-07-02T19:48:44.000Z,EU: Trump risks $294bn trade tariff reprisals https://trib.al/asb1yvc
2018-07-02T21:52:02.000Z,"May’s new customs plan could involve technology and tariff alignment
via 
@IrishTimes
https://irishtimes.com/news/world/uk/may-s-new-customs-plan-could-involve-technology-and-tariff-alignment-1.3551569…"
2018-07-02T22:41:22.000Z,"Initial U.S. dairy market reaction to the escalating tariff war between the U.S. and Mexico has been muted, but longer-term impacts are possible, according to Tom Bailey, dairy analyst with the #RaboResearch team at Rabobank. #GrowingAmbition
http://bit.ly/2zaMioG"
2018-07-02T21:59:31.000Z,"True story - Trump had aids draw up the 'United States Fair and Reciprocal Tariff Act"" to get out of the WTO. They didn't check the acronym -- US FART act. #BozoWhiteHouse"
2018-07-02T21:26:47.000Z,"Donald Trump has introduced the ""Fair And Reciprocal Tariff Act."" - in short ""F.A.R.T. Act"" – no wonder it stinks... #Trump #Trade"
2018-07-02T21:28:56.000Z,Billions in U.S. solar projects shelved after Trump panel tariff http://reuters.com/article/us-trump-effect-solar-insight/billions-in-u-s-solar-projects-shelved-after-trump-panel-tariff-idUSKCN1J30CT…
2018-07-02T23:52:28.000Z,"""United States Fair and Reciprocal Tariff Act”.

Donnie wants to destroy international trade with a bill called the USFART Act.

Perfect.

Exclusive: A leaked Trump bill to blow up the WTO https://axios.com/trump-trade-war-leaked-bill-world-trade-organization-united-states-d51278d2-0516-4def-a4d3-ed676f4e0f83.html?utm_source=twitter&utm_medium=twsocialshare&utm_campaign=organic…"
2018-07-02T21:45:49.000Z,New tariffs could threaten $276.9 million in Colorado exports https://dpo.st/2MKfYeC
2018-07-02T21:34:00.000Z,US Chamber of Commerce begins a new campaign against the President's tariff policies. Read more on about the Chambers' position. https://hubs.ly/H0cT5Cj0
2018-07-02T21:52:08.000Z,"Auto companies latest to raise alarm over Trump's tariff policy http://msnbc.com/rachel-maddow-show/auto-companies-latest-raise-alarm-over-trumps-tariff-policy… via 
@msnbc"
2018-07-02T22:00:02.000Z,"While tariffs on steel and aluminum should have only a modest effect, economists say the threat to the auto industry could be severe.

http://cbc.ca/news/canada/tariff-impact-canadian-cities-1.4728226…"
2018-07-02T20:48:22.000Z,"In other news, try to keep a straight face when reading about the administration's latest, proposed legislation for the US to abandon world-trade rules, called ""The Fair and Reciprocal Tariff Act,"" whose acronym is labeled as the ""FART Act."" Critics are saying the bill stinks!"
